Average instance accuracy: 
0.899513776337
Average category accuracy: 
0.860720930233
Class   #Shape  PerClassAccuracy:
airplane 100 1.00
bathtub 50 0.84
bed 100 0.99
bench 20 0.70
bookshelf 100 0.96
bottle 100 0.94
bowl 20 0.95
car 100 0.99
chair 100 0.96
cone 20 1.00
cup 20 0.70
curtain 20 0.90
desk 86 0.85
door 20 0.95
dresser 86 0.79
flower_pot 20 0.05
glass_box 100 0.93
guitar 100 0.98
keyboard 20 1.00
lamp 20 0.75
laptop 20 1.00
mantel 100 0.93
monitor 100 0.99
night_stand 86 0.71
person 20 0.90
piano 100 0.87
plant 100 0.93
radio 20 0.65
range_hood 100 0.97
sink 20 0.80
sofa 100 0.94
stairs 20 0.85
stool 20 0.70
table 100 0.83
tent 20 0.95
toilet 100 0.99
tv_stand 100 0.84
vase 100 0.85
wardrobe 20 0.65
xbox 20 0.85
