Average instance accuracy: 
0.89262560778
Average category accuracy: 
0.860511627907
Class   #Shape  PerClassAccuracy:
airplane 100 1.00
bathtub 50 0.92
bed 100 0.99
bench 20 0.75
bookshelf 100 0.95
bottle 100 0.97
bowl 20 0.90
car 100 0.96
chair 100 0.96
cone 20 1.00
cup 20 0.70
curtain 20 0.90
desk 86 0.85
door 20 0.90
dresser 86 0.76
flower_pot 20 0.25
glass_box 100 0.92
guitar 100 0.98
keyboard 20 1.00
lamp 20 0.95
laptop 20 1.00
mantel 100 0.93
monitor 100 0.97
night_stand 86 0.76
person 20 0.90
piano 100 0.88
plant 100 0.78
radio 20 0.60
range_hood 100 0.92
sink 20 0.80
sofa 100 0.97
stairs 20 0.85
stool 20 0.70
table 100 0.82
tent 20 0.90
toilet 100 0.98
tv_stand 100 0.86
vase 100 0.80
wardrobe 20 0.70
xbox 20 0.70
